Timestep: 0, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 1, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 2, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 3, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 4, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 5, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 6, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 7, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 8, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 9, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 10, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 11, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 12, Trans probs: [0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.23872054246610985, 0.19031986438347254, 0.09515993219173627, 0.09515993219173627]
Timestep: 13, Trans probs: [0.09032070492446319, 0.09032070492446319, 0.09032070492446319, 0.09032070492446319, 0.2931669190596768, 0.16490885139354403, 0.09032070492446319, 0.09032070492446319]
Timestep: 14, Trans probs: [0.09515993219173627, 0.09515993219173627, 0.33388047465784615, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627]
Timestep: 15, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021]
Timestep: 16, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 17, Trans probs: [0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.32676503643142535, 0.14351340453040481, 0.08828692650636163, 0.08828692650636163]
Timestep: 18, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 19, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 20, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021]
Timestep: 21, Trans probs: [0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.32676503643142535, 0.14351340453040481, 0.08828692650636163, 0.08828692650636163]
Timestep: 22, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 23, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 24, Trans probs: [0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.08828692650636163, 0.32676503643142535, 0.14351340453040481, 0.08828692650636163, 0.08828692650636163]
Timestep: 25, Trans probs: [0.0897923450812006, 0.0897923450812006, 0.2242648470727524, 0.0897923450812006, 0.1795846901624012, 0.14718873735884339, 0.0897923450812006, 0.0897923450812006]
Timestep: 26, Trans probs: [0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.1903198643834725, 0.23872054246610985, 0.09515993219173625, 0.09515993219173625]
Timestep: 27, Trans probs: [0.08903098049224004, 0.08903098049224004, 0.21683247071788422, 0.08903098049224004, 0.15995066583643566, 0.17806196098448007, 0.08903098049224004, 0.08903098049224004]
Timestep: 28, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 29, Trans probs: [0.08791426287844868, 0.08791426287844868, 0.08791426287844868, 0.08791426287844868, 0.25742971053404395, 0.2150847121952639, 0.08791426287844868, 0.08791426287844868]
Timestep: 30, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 31, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 32, Trans probs: [0.08643785988621677, 0.17287571977243354, 0.08643785988621677, 0.08643785988621677, 0.21331438291172072, 0.18162059788476176, 0.08643785988621677, 0.08643785988621677]
Timestep: 33, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 34, Trans probs: [0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.1903198643834725, 0.23872054246610985, 0.09515993219173625, 0.09515993219173625]
Timestep: 35, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 36, Trans probs: [0.08643785988621677, 0.17287571977243354, 0.08643785988621677, 0.08643785988621677, 0.21331438291172072, 0.18162059788476176, 0.08643785988621677, 0.08643785988621677]
Timestep: 37, Trans probs: [0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.09515993219173625, 0.1903198643834725, 0.23872054246610985, 0.09515993219173625, 0.09515993219173625]
Timestep: 38, Trans probs: [0.08442693134405009, 0.08442693134405009, 0.25207019605958, 0.08442693134405009, 0.11657868941357308, 0.20921645780659645, 0.08442693134405009, 0.08442693134405009]
Timestep: 39, Trans probs: [0.0836898745212419, 0.1528383223038785, 0.0836898745212419, 0.0836898745212419, 0.18518839193965533, 0.24352391315025673, 0.0836898745212419, 0.0836898745212419]
Timestep: 40, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 41, Trans probs: [0.09032070492446319, 0.09032070492446319, 0.09032070492446319, 0.09032070492446319, 0.2552295563180072, 0.20284621413521367, 0.09032070492446319, 0.09032070492446319]
Timestep: 42, Trans probs: [0.08771355711381884, 0.08771355711381884, 0.08771355711381884, 0.08771355711381884, 0.2128825294082676, 0.2608361279088194, 0.08771355711381884, 0.08771355711381884]
Timestep: 43, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 44, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 45, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 46, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 47, Trans probs: [0.08771355711381884, 0.08771355711381884, 0.08771355711381884, 0.08771355711381884, 0.2128825294082676, 0.2608361279088194, 0.08771355711381884, 0.08771355711381884]
Timestep: 48, Trans probs: [0.08635770022378102, 0.08635770022378102, 0.08635770022378102, 0.08635770022378102, 0.17984084334320205, 0.3020129553141118, 0.08635770022378102, 0.08635770022378102]
Timestep: 49, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 50, Trans probs: [0.10089316186663021, 0.10089316186663021, 0.2937478669335886, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 51, Trans probs: [0.1928547050669584, 0.10089316186663021, 0.20178632373326041, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 52, Trans probs: [0.19031986438347254, 0.09515993219173627, 0.23872054246610985, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627, 0.09515993219173627]
Timestep: 53, Trans probs: [0.2360325710545126, 0.08224169511957641, 0.1721294130514204, 0.08224169511957641, 0.1422631037165908, 0.12060813169917059, 0.08224169511957641, 0.08224169511957641]
Timestep: 54, Trans probs: [0.16490885139354403, 0.09032070492446319, 0.2028462141352136, 0.09032070492446319, 0.18064140984892638, 0.09032070492446319, 0.09032070492446319, 0.09032070492446319]
Timestep: 55, Trans probs: [0.14671972553026794, 0.08602839309158229, 0.26361722052339864, 0.08602839309158229, 0.15952108848842206, 0.08602839309158229, 0.08602839309158229, 0.08602839309158229]
Timestep: 56, Trans probs: [0.13130248943766734, 0.08426041009435488, 0.3061705862236413, 0.08426041009435488, 0.14122487386691696, 0.08426041009435488, 0.08426041009435488, 0.08426041009435488]
Timestep: 57, Trans probs: [0.11912038782526868, 0.08432777680356228, 0.33278168382084383, 0.08432777680356228, 0.12645904433607608, 0.08432777680356228, 0.08432777680356228, 0.08432777680356228]
Timestep: 58, Trans probs: [0.11013988016134531, 0.0853017690224612, 0.3479723981036049, 0.0853017690224612, 0.11537887662274367, 0.0853017690224612, 0.0853017690224612, 0.0853017690224612]
Timestep: 59, Trans probs: [0.10383037924320081, 0.08652383560041531, 0.3560696683427182, 0.08652383560041531, 0.10748077441200439, 0.08652383560041531, 0.08652383560041531, 0.08652383560041531]
Timestep: 60, Trans probs: [0.1687407899840363, 0.09360296836787194, 0.26964139980873203, 0.09360296836787194, 0.09360296836787194, 0.09360296836787194, 0.09360296836787194, 0.09360296836787194]
Timestep: 61, Trans probs: [0.18717918669355216, 0.08765488764481384, 0.2725185118939867, 0.08765488764481384, 0.10202786318839195, 0.08765488764481384, 0.08765488764481384, 0.08765488764481384]
Timestep: 62, Trans probs: [0.20419854288625064, 0.08055399564524687, 0.23337577778071392, 0.08055399564524687, 0.1288099135963537, 0.11139978315569418, 0.08055399564524687, 0.08055399564524687]
Timestep: 63, Trans probs: [0.14718873735884339, 0.0897923450812006, 0.314057192153953, 0.0897923450812006, 0.0897923450812006, 0.0897923450812006, 0.0897923450812006, 0.0897923450812006]
Timestep: 64, Trans probs: [0.16121699108324486, 0.086034501134063, 0.22568389032771607, 0.086034501134063, 0.1829266129187241, 0.086034501134063, 0.086034501134063, 0.086034501134063]
Timestep: 65, Trans probs: [0.2574794417195679, 0.07990016477342969, 0.20062927359977634, 0.07990016477342969, 0.118022308674815, 0.10426831691212204, 0.07990016477342969, 0.07990016477342969]
Timestep: 66, Trans probs: [0.12999146244364204, 0.08847287894757888, 0.3391712638708847, 0.08847287894757888, 0.08847287894757888, 0.08847287894757888, 0.08847287894757888, 0.08847287894757888]
Timestep: 67, Trans probs: [0.20584795937147587, 0.08840905342181085, 0.263697720097659, 0.08840905342181085, 0.08840905342181085, 0.08840905342181085, 0.08840905342181085, 0.08840905342181085]
Timestep: 68, Trans probs: [0.1928547050669584, 0.10089316186663021, 0.20178632373326041, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021, 0.10089316186663021]
Timestep: 69, Trans probs: [0.17470229050223005, 0.17350633224914486, 0.21802554662576282, 0.08675316612457243, 0.08675316612457243, 0.08675316612457243, 0.08675316612457243, 0.08675316612457243]
Timestep: 70, Trans probs: [0.16780112732170427, 0.08390056366085213, 0.24025151904827502, 0.08390056366085213, 0.10204011415563029, 0.15430498483098185, 0.08390056366085213, 0.08390056366085213]
Timestep: 71, Trans probs: [0.14331953546756762, 0.08359773258671889, 0.1945293244971705, 0.08359773258671889, 0.2441624771016675, 0.08359773258671889, 0.08359773258671889, 0.08359773258671889]
Timestep: 72, Trans probs: [0.1289184289056404, 0.08251812402972206, 0.2512235270216221, 0.08251812402972206, 0.2072674239241273, 0.08251812402972206, 0.08251812402972206, 0.08251812402972206]
Timestep: 73, Trans probs: [0.11772070666875029, 0.08221889814622864, 0.2935177006109683, 0.08221889814622864, 0.17766710198913818, 0.08221889814622864, 0.08221889814622864, 0.08221889814622864]
Timestep: 74, Trans probs: [0.10923646670634593, 0.08288747756165626, 0.322598229320666, 0.08288747756165626, 0.15372791616470677, 0.08288747756165626, 0.08288747756165626, 0.08288747756165626]
Timestep: 75, Trans probs: [0.10312540582698204, 0.08414233568389134, 0.34098374493400235, 0.08414233568389134, 0.1351791708195588, 0.08414233568389134, 0.08414233568389134, 0.08414233568389134]
Timestep: 76, Trans probs: [0.09891878473572122, 0.08556719891420775, 0.3517816847146973, 0.08556719891420775, 0.12146353597854273, 0.08556719891420775, 0.08556719891420775, 0.08556719891420775]
Timestep: 77, Trans probs: [0.2973661006412887, 0.0801833065837077, 0.17332382566242702, 0.0801833065837077, 0.10959391274063639, 0.09898293462081703, 0.0801833065837077, 0.0801833065837077]
Timestep: 78, Trans probs: [0.09611532881315242, 0.08688862904523174, 0.27085787188938015, 0.08688862904523174, 0.19858365407130874, 0.08688862904523174, 0.08688862904523174, 0.08688862904523174]
Timestep: 79, Trans probs: [0.1542584278802957, 0.1533019768088083, 0.18890560275682983, 0.08392233209234434, 0.08392233209234434, 0.16784466418468869, 0.08392233209234434, 0.08392233209234434]
Timestep: 80, Trans probs: [0.1783610258125773, 0.0857231757999774, 0.223593423169779, 0.0857231757999774, 0.16942967201775663, 0.0857231757999774, 0.0857231757999774, 0.0857231757999774]
Timestep: 81, Trans probs: [0.24344571797747908, 0.08138487138043965, 0.23227078882617216, 0.08138487138043965, 0.10333093646080824, 0.09541307121378197, 0.08138487138043965, 0.08138487138043965]
Timestep: 82, Trans probs: [0.08635770022378102, 0.08635770022378102, 0.08635770022378102, 0.08635770022378102, 0.17984084334320205, 0.3020129553141118, 0.08635770022378102, 0.08635770022378102]
Timestep: 83, Trans probs: [0.24344571797747908, 0.08138487138043965, 0.23227078882617216, 0.08138487138043965, 0.10333093646080824, 0.09541307121378197, 0.08138487138043965, 0.08138487138043965]
Timestep: 84, Trans probs: [0.15700167463950698, 0.08335603590673334, 0.19296072155534819, 0.08335603590673334, 0.23325742427147805, 0.08335603590673334, 0.08335603590673334, 0.08335603590673334]
Timestep: 85, Trans probs: [0.13929192480223765, 0.13849501507535764, 0.24884803868428798, 0.0806882799790731, 0.0806882799790731, 0.15061190152182435, 0.0806882799790731, 0.0806882799790731]
Timestep: 86, Trans probs: [0.20609395119723173, 0.1258368798542106, 0.214064999342982, 0.07961993568234275, 0.07961993568234275, 0.13552442687620472, 0.07961993568234275, 0.07961993568234275]
Timestep: 87, Trans probs: [0.2589957475550319, 0.11583170896303387, 0.18667398379608163, 0.0787220722628685, 0.0787220722628685, 0.12361027063437861, 0.0787220722628685, 0.0787220722628685]
Timestep: 88, Trans probs: [0.22191826047536917, 0.08211748257032758, 0.16796587170954727, 0.08211748257032758, 0.19952845496344568, 0.08211748257032758, 0.08211748257032758, 0.08211748257032758]
Timestep: 89, Trans probs: [0.19081400086605516, 0.08123297283955384, 0.2297570929621699, 0.08123297283955384, 0.17326404197400577, 0.08123297283955384, 0.08123297283955384, 0.08123297283955384]
