Timestep: 0 State: 2 Beliefs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 1 State: 5 Beliefs: [0.099626400996264, 0.07845579078455792, 0.199252801992528, 0.15691158156911583, 0.08685378548392246, 0.06839735606858895, 0.17370757096784492, 0.1367947121371779]
Timestep: 2 State: 5 Beliefs: [0.06327614076725267, 0.1054602346120878, 0.056948526690527405, 0.09491421115087903, 0.12655228153450535, 0.2491231295619349, 0.11389705338105481, 0.18982842230175806]
Timestep: 3 State: 4 Beliefs: [0.08769198837691987, 0.1551473640514736, 0.07644942576449425, 0.13525667635256675, 0.10523038605230385, 0.18617683686176836, 0.0917393109173931, 0.1623080116230801]
Timestep: 4 State: 5 Beliefs: [0.07298756820610902, 0.12164594701018172, 0.08758508184733084, 0.14597513641221804, 0.09123446025763626, 0.18862153344208812, 0.10948135230916353, 0.18246892051527253]
Timestep: 5 State: 5 Beliefs: [0.06121803712726492, 0.10203006187877488, 0.05509623341453843, 0.0918270556908974, 0.12243607425452983, 0.2735459594231229, 0.11019246682907687, 0.1836541113817948]
Timestep: 6 State: 2 Beliefs: [0.06229813910603153, 0.11021978457220964, 0.05431119819500186, 0.0960890429603879, 0.1558417837111705, 0.22043956914441928, 0.10862239639000372, 0.1921780859207758]
Timestep: 7 State: 2 Beliefs: [0.0928279356962416, 0.07493339387527938, 0.22135776880122737, 0.14986678775055876, 0.09160366616020364, 0.06744005448775144, 0.1670902842532349, 0.13488010897550287]
Timestep: 8 State: 5 Beliefs: [0.09709775563956577, 0.07646448256615807, 0.19419551127913154, 0.15292896513231613, 0.08464932542936504, 0.09204262154348353, 0.16929865085873008, 0.13332268755124996]
Timestep: 9 State: 4 Beliefs: [0.05973243239210529, 0.09955405398684217, 0.05375918915289476, 0.08959864858815796, 0.11946486478421058, 0.2911751356136838, 0.10751837830578952, 0.1791972971763159]
Timestep: 10 State: 2 Beliefs: [0.07017735105834987, 0.12415992879554208, 0.11482858478159903, 0.1551999109944276, 0.09513639003459307, 0.1489919145546505, 0.1052660265875248, 0.1862398931933131]
Timestep: 11 State: 4 Beliefs: [0.09646792602741863, 0.07596849174659218, 0.19293585205483726, 0.15193698349318435, 0.09521600326407266, 0.08681637396177343, 0.16820048640678117, 0.1324578830453402]
Timestep: 12 State: 5 Beliefs: [0.07160240634485633, 0.1193373439080939, 0.0859228876138276, 0.14320481268971266, 0.11177884912960823, 0.18174407493447592, 0.1074036095172845, 0.17900601586214082]
Timestep: 13 State: 5 Beliefs: [0.07106954367660102, 0.1184492394610017, 0.08528345241192124, 0.14213908735320205, 0.11010798234907378, 0.1886725200417961, 0.10660431551490156, 0.17767385919150255]
Timestep: 14 State: 5 Beliefs: [0.059402194898431064, 0.09900365816405178, 0.05346197540858796, 0.0891032923476466, 0.13749311047721496, 0.27640523319159843, 0.10692395081717591, 0.1782065846952932]
Timestep: 15 State: 4 Beliefs: [0.06946622595369, 0.12290178437960539, 0.1242050305492975, 0.15362723047450672, 0.09376557188743079, 0.14748214125552644, 0.104199338930535, 0.18435267656940807]
Timestep: 16 State: 5 Beliefs: [0.07060603118187524, 0.11767671863645872, 0.08472723741825028, 0.14121206236375047, 0.1003671971990457, 0.20298662847311866, 0.10590904677281286, 0.17651507795468807]
Timestep: 17 State: 4 Beliefs: [0.06165908957062621, 0.10908915847110792, 0.06777843967601138, 0.09510336892352998, 0.15047673239502354, 0.21817831694221584, 0.10750815617442519, 0.19020673784705996]
Timestep: 18 State: 2 Beliefs: [0.06961778383504487, 0.12316992524661782, 0.10842803077237222, 0.1539624065582723, 0.10783637966925746, 0.1478039102959414, 0.10442667575256731, 0.18475488786992675]
Timestep: 19 State: 5 Beliefs: [0.09601678040191039, 0.07561321456650444, 0.19203356080382078, 0.15122642913300888, 0.09401420361223795, 0.09184351256323019, 0.16741387352127965, 0.13183842539800775]
Timestep: 20 State: 5 Beliefs: [0.08686875413520388, 0.14478125689200647, 0.07818187872168349, 0.13030313120280582, 0.1192799318950979, 0.26467582002941464, 0.09772734840210437, 0.07818187872168349]
Timestep: 21 State: 1 Beliefs: [0.08277201732521307, 0.14644279988306927, 0.09278767612966206, 0.12766808194934245, 0.13480410223513467, 0.1757313598596831, 0.08659226427868442, 0.15320169833921093]
Timestep: 22 State: 4 Beliefs: [0.06928117518055829, 0.14167932377242953, 0.1108918712835819, 0.15321798357238856, 0.09005703890384506, 0.147089264229493, 0.10392176277083746, 0.18386158028686625]
Timestep: 23 State: 5 Beliefs: [0.0704572526289979, 0.11742875438166317, 0.08454870315479748, 0.1409145052579958, 0.09303327852079689, 0.2117884955397573, 0.10568587894349685, 0.17614313157249473]
Timestep: 24 State: 0 Beliefs: [0.0605764916385656, 0.12755670402869168, 0.06450558860754355, 0.09343356304015445, 0.1470923912830817, 0.21434758579800137, 0.10562054952365284, 0.1868671260803089]
Timestep: 25 State: 0 Beliefs: [0.08150118673939655, 0.1324714195122916, 0.10881887238251092, 0.15131986746952353, 0.09640339526973436, 0.14526707277074258, 0.10263434489237248, 0.18158384096342825]
Timestep: 26 State: 5 Beliefs: [0.07042177200394306, 0.11736962000657175, 0.08450612640473167, 0.14084354400788612, 0.09290058784497877, 0.21227126171611638, 0.10563265800591459, 0.1760544300098576]
Timestep: 27 State: 2 Beliefs: [0.07626623286214683, 0.11731285253328917, 0.06433445650179875, 0.09353787751554754, 0.14114745984431157, 0.21458689547684437, 0.1057384702349668, 0.18707575503109508]
