Action: 0
[0.17580538629179096, 0.0830304527919074, 0.2994450468418378, 0.08303045278806989, 0.1095973029221842, 0.0830304527880699, 0.08303045278806989, 0.08303045278806989]
[0.16948584922036408, 0.08474292461018204, 0.25303857495640203, 0.08474292461018204, 0.1251974760510896, 0.11330640133141603, 0.08474292461018204, 0.08474292461018204]
[0.2844719443613094, 0.082547105935, 0.14679735459218732, 0.08254710591033518, 0.15588693554995847, 0.08265534183053924, 0.08254710591033518, 0.08254710591033518]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.09454421838341598, 0.08940885587889492, 0.36332302330016947, 0.08940885587889492, 0.0950884789219399, 0.08940885587889492, 0.08940885587889492, 0.08940885587889492]
[0.09095955352495855, 0.09095955352495855, 0.2723235718003316, 0.09095955352495855, 0.1819191070499171, 0.09095955352495855, 0.09095955352495855, 0.09095955352495855]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]

Action: 1
[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]

