Timestep: 103, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 104, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 105, Current State: 0, Next State: 5, Selected Action: 0
Timestep: 106, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 107, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 108, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 109, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 110, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 111, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 112, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 113, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 114, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 115, Current State: 0, Next State: 5, Selected Action: 0
Timestep: 116, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 117, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 118, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 119, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 120, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 121, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 122, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 123, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 124, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 125, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 126, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 127, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 128, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 129, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 130, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 131, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 132, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 133, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 134, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 135, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 136, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 137, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 138, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 139, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 140, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 141, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 142, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 143, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 144, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 145, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 146, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 147, Current State: 4, Next State: 0, Selected Action: 0
