Timestep: 0, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 1, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 2, Trans probs: [0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.23596465027252678, 0.10914790710392475, 0.10914790710392475]
Timestep: 3, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 4, Trans probs: [0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.2185175991092004, 0.1259296035631984, 0.1092587995546002, 0.1092587995546002]
Timestep: 5, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 6, Trans probs: [0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.2357902019695426, 0.11155828170551355, 0.10877525272082397, 0.10877525272082397]
Timestep: 7, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 8, Trans probs: [0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.23596465027252678, 0.10914790710392475, 0.10914790710392475]
Timestep: 9, Trans probs: [0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.2357902019695426, 0.11155828170551355, 0.10877525272082397, 0.10877525272082397]
Timestep: 10, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 11, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 12, Trans probs: [0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.2351884031177986, 0.1092587995546002, 0.1092587995546002]
Timestep: 13, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 14, Trans probs: [0.10914790710392475, 0.10914790710392475, 0.23596465027252678, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475]
Timestep: 15, Trans probs: [0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.10877525272082397, 0.2357902019695426, 0.11155828170551355, 0.10877525272082397, 0.10877525272082397]
Timestep: 16, Trans probs: [0.1092059569846772, 0.1092059569846772, 0.1092059569846772, 0.1092059569846772, 0.12598470440248075, 0.21877955368945615, 0.1092059569846772, 0.1092059569846772]
Timestep: 17, Trans probs: [0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.2351884031177986, 0.1092587995546002, 0.1092587995546002]
Timestep: 18, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 19, Trans probs: [0.10914790710392475, 0.10914790710392475, 0.23596465027252678, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475]
Timestep: 20, Trans probs: [0.1092587995546002, 0.1092587995546002, 0.2351884031177986, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002]
Timestep: 21, Trans probs: [0.10925292290170366, 0.10925292290170366, 0.23522953968807436, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366]
Timestep: 22, Trans probs: [0.10925323549238919, 0.10925323549238919, 0.23522735155327562, 0.10925323549238919, 0.10925323549238919, 0.10925323549238919, 0.10925323549238919, 0.10925323549238919]
Timestep: 23, Trans probs: [0.10925321886835608, 0.10925321886835608, 0.2352274679215074, 0.10925321886835608, 0.10925321886835608, 0.10925321886835608, 0.10925321886835608, 0.10925321886835608]
Timestep: 24, Trans probs: [0.10925321975245594, 0.10925321975245594, 0.2352274617328085, 0.10925321975245594, 0.10925321975245594, 0.10925321975245594, 0.10925321975245594, 0.10925321975245594]
Timestep: 25, Trans probs: [0.10914790710392475, 0.10914790710392475, 0.23596465027252678, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475]
Timestep: 26, Trans probs: [0.10877347188707741, 0.10877347188707741, 0.10877347188707741, 0.10877347188707741, 0.12685890700230534, 0.22050026167523007, 0.10877347188707741, 0.10877347188707741]
Timestep: 27, Trans probs: [0.10877766751586866, 0.10877766751586866, 0.10877766751586866, 0.10877766751586866, 0.11170352511451863, 0.23563046979026944, 0.10877766751586866, 0.10877766751586866]
Timestep: 28, Trans probs: [0.10925321970543773, 0.10925321970543773, 0.12597424235649812, 0.10925321970543773, 0.10925321970543773, 0.21850643941087547, 0.10925321970543773, 0.10925321970543773]
Timestep: 29, Trans probs: [0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.1092587995546002, 0.2351884031177986, 0.1092587995546002, 0.1092587995546002]
Timestep: 30, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 31, Trans probs: [0.10877766751586866, 0.10877766751586866, 0.10877766751586866, 0.10877766751586866, 0.11170352511451863, 0.23563046979026944, 0.10877766751586866, 0.10877766751586866]
Timestep: 32, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 33, Trans probs: [0.2182958142078495, 0.10914790710392475, 0.12681674316860203, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475, 0.10914790710392475]
Timestep: 34, Trans probs: [0.21850584580340732, 0.10925292290170366, 0.1259766167863707, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366]
Timestep: 35, Trans probs: [0.21850584580340732, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.10925292290170366, 0.1259766167863707, 0.10925292290170366, 0.10925292290170366]
Timestep: 36, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 37, Trans probs: [0.10920205425598845, 0.10920205425598845, 0.10920205425598845, 0.10920205425598845, 0.2187914653902303, 0.125996209073839, 0.10920205425598845, 0.10920205425598845]
Timestep: 38, Trans probs: [0.12701435334944114, 0.21754839187314773, 0.10877419593657386, 0.10877419593657386, 0.10877419593657386, 0.11156627509454188, 0.10877419593657386, 0.10877419593657386]
Timestep: 39, Trans probs: [0.1087767391202345, 0.1087767391202345, 0.1087767391202345, 0.1087767391202345, 0.23577105304373647, 0.11156851223485661, 0.1087767391202345, 0.1087767391202345]
Timestep: 40, Trans probs: [0.11175801815333396, 0.12710088545140494, 0.10866684582472666, 0.10866684582472666, 0.10866684582472666, 0.21780686727162768, 0.10866684582472666, 0.10866684582472666]
Timestep: 41, Trans probs: [0.10925321970543773, 0.10925321970543773, 0.12597424235649812, 0.10925321970543773, 0.10925321970543773, 0.21850643941087547, 0.10925321970543773, 0.10925321970543773]
Timestep: 42, Trans probs: [0.10920564184161075, 0.10920564184161075, 0.10920564184161075, 0.10920564184161075, 0.23519161748435466, 0.10957453146598092, 0.10920564184161075, 0.10920564184161075]
Timestep: 43, Trans probs: [0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.1259832717487044, 0.21854093745594863, 0.10924596513255783, 0.10924596513255783]
Timestep: 44, Trans probs: [0.10925321970543773, 0.10925321970543773, 0.12597424235649812, 0.10925321970543773, 0.10925321970543773, 0.21850643941087547, 0.10925321970543773, 0.10925321970543773]
Timestep: 45, Trans probs: [0.11175801815333396, 0.12710088545140494, 0.10866684582472666, 0.10866684582472666, 0.10866684582472666, 0.21780686727162768, 0.10866684582472666, 0.10866684582472666]
Timestep: 46, Trans probs: [0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.1259832717487044, 0.21854093745594863, 0.10924596513255783, 0.10924596513255783]
Timestep: 47, Trans probs: [0.10925321970543773, 0.10925321970543773, 0.12597424235649812, 0.10925321970543773, 0.10925321970543773, 0.21850643941087547, 0.10925321970543773, 0.10925321970543773]
Timestep: 48, Trans probs: [0.10877424928749535, 0.10877424928749535, 0.22034012064619546, 0.10877424928749535, 0.10877424928749535, 0.12701438362883255, 0.10877424928749535, 0.10877424928749535]
Timestep: 49, Trans probs: [0.10918200073118686, 0.11177214690822194, 0.10866015640874359, 0.10866015640874359, 0.10866015640874359, 0.23574507031687325, 0.10866015640874359, 0.10866015640874359]
Timestep: 50, Trans probs: [0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.1259832717487044, 0.21854093745594863, 0.10924596513255783, 0.10924596513255783]
Timestep: 51, Trans probs: [0.12700241946681892, 0.1087554711342271, 0.22046475372781849, 0.1087554711342271, 0.1087554711342271, 0.1087554711342271, 0.1087554711342271, 0.1087554711342271]
Timestep: 52, Trans probs: [0.10925301748754919, 0.10929854485459345, 0.10924384495581392, 0.10924384495581392, 0.21848768991162784, 0.12598536792297396, 0.10924384495581392, 0.10924384495581392]
Timestep: 53, Trans probs: [0.10877424928749535, 0.10877424928749535, 0.22034012064619546, 0.10877424928749535, 0.10877424928749535, 0.12701438362883255, 0.10877424928749535, 0.10877424928749535]
Timestep: 54, Trans probs: [0.12700241946681892, 0.1087554711342271, 0.11170928259359138, 0.1087554711342271, 0.1087554711342271, 0.2175109422684542, 0.1087554711342271, 0.1087554711342271]
Timestep: 55, Trans probs: [0.10925301748754919, 0.10929854485459345, 0.10924384495581392, 0.10924384495581392, 0.21848768991162784, 0.12598536792297396, 0.10924384495581392, 0.10924384495581392]
Timestep: 56, Trans probs: [0.21754616275440078, 0.10877308137720039, 0.12685852286410396, 0.10877308137720039, 0.10877308137720039, 0.11172990749549333, 0.10877308137720039, 0.10877308137720039]
Timestep: 57, Trans probs: [0.10925301748754919, 0.10929854485459345, 0.10924384495581392, 0.10924384495581392, 0.21848768991162784, 0.12598536792297396, 0.10924384495581392, 0.10924384495581392]
Timestep: 58, Trans probs: [0.12700241946681892, 0.1087554711342271, 0.11170928259359138, 0.1087554711342271, 0.1087554711342271, 0.2175109422684542, 0.1087554711342271, 0.1087554711342271]
Timestep: 59, Trans probs: [0.21754616275440078, 0.10877308137720039, 0.12685852286410396, 0.10877308137720039, 0.10877308137720039, 0.11172990749549333, 0.10877308137720039, 0.10877308137720039]
Timestep: 60, Trans probs: [0.1271087542759841, 0.10866542041080929, 0.2203973700696533, 0.10866542041080929, 0.10866542041080929, 0.10916677360031612, 0.10866542041080929, 0.10866542041080929]
Timestep: 61, Trans probs: [0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.10924596513255783, 0.1259832717487044, 0.21854093745594863, 0.10924596513255783, 0.10924596513255783]
Timestep: 62, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 63, Trans probs: [0.10925301748754919, 0.10929854485459345, 0.10924384495581392, 0.10924384495581392, 0.21848768991162784, 0.12598536792297396, 0.10924384495581392, 0.10924384495581392]
Timestep: 64, Trans probs: [0.10877442412819723, 0.21754884825639445, 0.10877442412819723, 0.10877442412819723, 0.11156726911562902, 0.12701176198699038, 0.10877442412819723, 0.10877442412819723]
Timestep: 65, Trans probs: [0.10866688097381365, 0.12710095343368674, 0.10866688097381365, 0.10866688097381365, 0.10914018623173746, 0.22042445546550757, 0.10866688097381365, 0.10866688097381365]
Timestep: 66, Trans probs: [0.1271087542759841, 0.10866542041080929, 0.2203973700696533, 0.10866542041080929, 0.10866542041080929, 0.10916677360031612, 0.10866542041080929, 0.10866542041080929]
Timestep: 67, Trans probs: [0.10866688097381365, 0.12710095343368674, 0.10866688097381365, 0.10866688097381365, 0.10914018623173746, 0.22042445546550757, 0.10866688097381365, 0.10866688097381365]
Timestep: 68, Trans probs: [0.10877359762665227, 0.10878120112506832, 0.10877206572759794, 0.10877206572759794, 0.1270168151171287, 0.220340123220759, 0.10877206572759794, 0.10877206572759794]
Timestep: 69, Trans probs: [0.10877299583185238, 0.10877422841091479, 0.10877274750054529, 0.10877274750054529, 0.2205030935781961, 0.12685869217685558, 0.10877274750054529, 0.10877274750054529]
Timestep: 70, Trans probs: [0.1117568089879498, 0.10866227793007785, 0.21782549777841467, 0.10866227793007785, 0.10866227793007785, 0.1271063035832463, 0.10866227793007785, 0.10866227793007785]
Timestep: 71, Trans probs: [0.10877299583185238, 0.10877422841091479, 0.10877274750054529, 0.10877274750054529, 0.2205030935781961, 0.12685869217685558, 0.10877274750054529, 0.10877274750054529]
Timestep: 72, Trans probs: [0.10882739410422451, 0.10876190899470989, 0.220333376019366, 0.10876190899470989, 0.1270296849028601, 0.10876190899470989, 0.10876190899470989, 0.10876190899470989]
Timestep: 73, Trans probs: [0.10877299583185238, 0.10877422841091479, 0.10877274750054529, 0.10877274750054529, 0.2205030935781961, 0.12685869217685558, 0.10877274750054529, 0.10877274750054529]
Timestep: 74, Trans probs: [0.1086651788759775, 0.10917106418907979, 0.1086651788759775, 0.1086651788759775, 0.2357709051214034, 0.11173213630962935, 0.1086651788759775, 0.1086651788759775]
Timestep: 75, Trans probs: [0.1259850826923098, 0.10920574532362132, 0.10957470004234095, 0.10920574532362132, 0.10920574532362132, 0.21841149064724263, 0.10920574532362132, 0.10920574532362132]
Timestep: 76, Trans probs: [0.10878157207264286, 0.10877095499629834, 0.12685999526896552, 0.10877095499629834, 0.2205036576768999, 0.10877095499629834, 0.10877095499629834, 0.10877095499629834]
Timestep: 77, Trans probs: [0.1091910123175465, 0.10925791041783756, 0.1091910123175465, 0.1091910123175465, 0.12599942996024638, 0.21878759803418335, 0.1091910123175465, 0.1091910123175465]
Timestep: 78, Trans probs: [0.10877769437644333, 0.10877789377504109, 0.1087776542030249, 0.1087776542030249, 0.12685266051693003, 0.22048113451948592, 0.1087776542030249, 0.1087776542030249]
Timestep: 79, Trans probs: [0.1117568089879498, 0.10866227793007785, 0.21782549777841467, 0.10866227793007785, 0.10866227793007785, 0.1271063035832463, 0.10866227793007785, 0.10866227793007785]
Timestep: 80, Trans probs: [0.10877479010048426, 0.10878591240448456, 0.10877479010048426, 0.10877479010048426, 0.22034410396132406, 0.12699603313177013, 0.10877479010048426, 0.10877479010048426]
Timestep: 81, Trans probs: [0.1117568089879498, 0.10866227793007785, 0.21782549777841467, 0.10866227793007785, 0.10866227793007785, 0.1271063035832463, 0.10866227793007785, 0.10866227793007785]
Timestep: 82, Trans probs: [0.1271087542759841, 0.10866542041080929, 0.2203973700696533, 0.10866542041080929, 0.10866542041080929, 0.10916677360031612, 0.10866542041080929, 0.10866542041080929]
Timestep: 83, Trans probs: [0.10877479010048426, 0.10878591240448456, 0.10877479010048426, 0.10877479010048426, 0.22034410396132406, 0.12699603313177013, 0.10877479010048426, 0.10877479010048426]
Timestep: 84, Trans probs: [0.10920259039199179, 0.10920259039199179, 0.10920259039199179, 0.10920259039199179, 0.12598886316113264, 0.2187955944869167, 0.10920259039199179, 0.10920259039199179]
Timestep: 85, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 86, Trans probs: [0.10877769437644333, 0.10877789377504109, 0.1087776542030249, 0.1087776542030249, 0.12685266051693003, 0.22048113451948592, 0.1087776542030249, 0.1087776542030249]
Timestep: 87, Trans probs: [0.10877758655645339, 0.10877761882463947, 0.10877758005528759, 0.10877758005528759, 0.220480194056499, 0.12685428034125767, 0.10877758005528759, 0.10877758005528759]
Timestep: 88, Trans probs: [0.10877754717194321, 0.10877755239387672, 0.10877754611986502, 0.10877754611986502, 0.23563183258712023, 0.11170288336759972, 0.10877754611986502, 0.10877754611986502]
