Action: 0
[0.15255199719924767, 0.051773788846643035, 0.44388999134650853, 0.05173321809007037, 0.12610504850567344, 0.07047951983171617, 0.05173321809007037, 0.05173321809007037]
[0.15191940442572952, 0.0779713749442881, 0.3052926401682303, 0.0779713749442881, 0.1529310806845996, 0.0779713749442881, 0.0779713749442881, 0.0779713749442881]
[0.273612612564887, 0.051712433311621515, 0.3448545520047691, 0.051709618207335856, 0.12297866870692886, 0.05171287878978597, 0.051709618207335856, 0.051709618207335856]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.2876081772112056, 0.06294236410773119, 0.3805260873650645, 0.05127104980412585, 0.05127104980412585, 0.06383917209949522, 0.05127104980412585, 0.05127104980412585]
[0.12133680257044076, 0.06705536934450589, 0.4182877124405959, 0.06705536934450589, 0.1250986382664339, 0.06705536934450589, 0.06705536934450589, 0.06705536934450589]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]

Action: 1
[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.36006825542479953, 0.09141882065360006, 0.09141882065360006]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.09141882065360006, 0.36006825542479953, 0.09141882065360006, 0.09141882065360006]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]

